Время доставки,Дата доставки,Магазин,Id заявки,Id клиента,Сумма скидки,Тип оплаты,Сумма заказа,Итоговая сумма,Пол клиента,Дата рождения клиента,Продукт категория,Наименование продукта,проверка суммы,Координаты
09:04:00,2024-01-01 00:00:00,"Гагаринская ул., 12",1532,10,"172,602",Карта,"575,34","402,738",Женский,27-04-1998,Путеводители,Мексика,TRUE,"[59.946153, 30.342916]"
11:00:07,2024-01-01 00:00:00,"Ул. Декабристов, 15",2108,421,"155,145",Карта,"517,15","362,005",Женский,04-03-1986,Учебники,Химия 9 класс,TRUE,"[59.928154, 30.302429]"
14:00:00,2024-01-01 00:00:00,"Гагаринская ул., 12",2435,226,"153,042",Наличные,"510,14","357,098",Женский,18-06-1964,Комиксы,Доктор Стрэндж,TRUE,"[59.946153, 30.342916]"
22:06:40,2024-01-01 00:00:00,"Невский пр., 30",4240,138,"184,773",Карта,"615,91","431,137",Мужской,11-09-1999,Путеводители,Швейцария,TRUE,"[59.935543, 30.327349]"
15:43:31,2024-01-01 00:00:00,"Гагаринская ул., 12",6442,455,"206,934",Наличные,"689,78","482,846",Мужской,01-02-1982,Научная литература,Философия науки,TRUE,"[59.946153, 30.342916]"
15:38:00,2024-01-02 00:00:00,"Невский пр., 30",2588,463,"283,53",Онлайн,"945,1","661,57",Женский,23-06-1964,Комиксы,Человек-Паук,TRUE,"[59.935543, 30.327349]"
06:32:43,2024-01-02 00:00:00,"Невский пр., 30",2776,312,"157,113",Карта,"523,71","366,597",Женский,12-04-1999,Учебники,География 6 класс,TRUE,"[59.935543, 30.327349]"
05:16:20,2024-01-02 00:00:00,"Ул. Декабристов, 15",4538,40,"240,984",Онлайн,"803,28","562,296",Мужской,08-07-1979,Комиксы,Бэтмен,TRUE,"[59.928154, 30.302429]"
01:00:37,2024-01-02 00:00:00,"Ул. Декабристов, 15",6622,387,"180,177",Карта,"600,59","420,413",Женский,21-10-1994,Комиксы,Бэтмен,TRUE,"[59.928154, 30.302429]"
14:07:21,2024-01-02 00:00:00,"Невский пр., 30",7344,72,"186,4",Карта,"786,89","600,49",Мужской,04-10-1977,Художественная литература,Отцы и дети,TRUE,"[59.935543, 30.327349]"
05:22:25,2024-01-02 00:00:00,"Ул. Рубинштейна, 24",8700,482,"111,53",Онлайн,"583,61","472,08",Женский,29-08-1974,Комиксы,Супермен,TRUE,"[59.929700, 30.344695]"
23:08:53,2024-01-02 00:00:00,"Гагаринская ул., 12",9394,246,"346,479",Онлайн,"1154,93","808,451",Мужской,27-12-1971,Художественная литература,Мастер и Маргарита,TRUE,"[59.946153, 30.342916]"
12:07:25,2024-01-03 00:00:00,"Гагаринская ул., 12",1435,5,"186,015",Онлайн,"620,05","434,035",Мужской,30-03-1955,Научная литература,Микробиология,TRUE,"[59.946153, 30.342916]"
20:08:05,2024-01-03 00:00:00,"Гагаринская ул., 12",1949,400,"161,148",Карта,"537,16","376,012",Мужской,02-12-1977,Научная литература,Палеонтология,TRUE,"[59.946153, 30.342916]"
15:16:55,2024-01-03 00:00:00,"Невский пр., 30",2958,377,"199,74",Онлайн,"665,8","466,06",Мужской,28-11-1966,Путеводители,Турция,TRUE,"[59.935543, 30.327349]"
16:00:04,2024-01-03 00:00:00,"Ул. Рубинштейна, 24",3607,225,"51,25",Наличные,"512,5","461,25",Женский,25-01-1991,Научная литература,Микробиология,TRUE,"[59.929700, 30.344695]"
06:49:55,2024-01-03 00:00:00,"Гагаринская ул., 12",5422,99,"353,358",Наличные,"1177,86","824,502",Женский,17-03-1976,Научная литература,Экономика труда,TRUE,"[59.946153, 30.342916]"
23:05:34,2024-01-03 00:00:00,"Невский пр., 30",6707,321,"60,89",Онлайн,"576,5","515,61",Мужской,11-08-1982,Научная литература,Микробиология,TRUE,"[59.935543, 30.327349]"
13:04:14,2024-01-03 00:00:00,"Гагаринская ул., 12",6851,109,"142,22",Наличные,"518,09","375,87",Мужской,25-04-1969,Научная литература,Микробиология,TRUE,"[59.946153, 30.342916]"
02:24:26,2024-01-03 00:00:00,"Гагаринская ул., 12",6871,344,"182,676",Карта,"608,92","426,244",Женский,08-01-1996,Учебники,География 6 класс,TRUE,"[59.946153, 30.342916]"
12:30:57,2024-01-03 00:00:00,"Ул. Декабристов, 15",9195,206,"189,468",Наличные,"631,56","442,092",Женский,16-04-1994,Путеводители,Индонезия,TRUE,"[59.928154, 30.302429]"
06:04:22,2024-01-03 00:00:00,"Гагаринская ул., 12",9881,112,"129,9",Наличные,"758,37","628,47",Мужской,04-06-1985,Научная литература,Палеонтология,TRUE,"[59.946153, 30.342916]"
10:17:22,2024-01-04 00:00:00,"Ул. Декабристов, 15",1520,340,"96,75",Карта,"1518,53","1421,78",Женский,02-03-1971,Путеводители,Швейцария,TRUE,"[59.928154, 30.302429]"
11:12:48,2024-01-04 00:00:00,"Гагаринская ул., 12",3320,1,"151,26",Карта,"504,2","352,94",Женский,12-02-2003,Учебники,Химия 9 класс,TRUE,"[59.946153, 30.342916]"
01:29:00,2024-01-04 00:00:00,"Московский пр., 90",5134,294,"61,85",Наличные,"592,13","530,28",Женский,09-04-2002,Комиксы,Доктор Стрэндж,TRUE,"[59.924032, 30.317189]"
10:04:50,2024-01-04 00:00:00,"Ул. Рубинштейна, 24",5189,491,"189,309",Наличные,"631,03","441,721",Мужской,01-12-1990,Путеводители,Турция,TRUE,"[59.929700, 30.344695]"
15:38:56,2024-01-04 00:00:00,"Московский пр., 90",6043,153,"191,502",Онлайн,"638,34","446,838",Мужской,21-12-1999,Комиксы,Бэтмен,TRUE,"[59.924032, 30.317189]"
00:50:44,2024-01-04 00:00:00,"Невский пр., 30",7104,348,"81,27",Наличные,"647,16","565,89",Мужской,05-04-1987,Учебники,История России 10 класс,TRUE,"[59.935543, 30.327349]"
02:31:53,2024-01-04 00:00:00,"Московский пр., 90",7476,192,"194,484",Карта,"648,28","453,796",Мужской,03-03-1973,Научная литература,Микробиология,TRUE,"[59.924032, 30.317189]"
